date,symbol,open,high,low,close,volume
2022-05-10 08:00:00,SIPC,1.07,1.07,0.922,0.94,45185.0
2022-05-11 08:00:00,SIPC,1.07,1.07,0.936,0.944,91800.0
2022-05-12 08:00:00,SIPC,1.07,1.07,0.9,0.94,127045.0
2022-05-15 08:00:00,SIPC,1.07,1.07,0.94,0.94,58735.0
2022-05-16 08:00:00,SIPC,1.07,1.07,0.94,0.94,44325.0
2022-05-17 08:00:00,SIPC,1.07,1.07,0.944,0.96,51700.0
2022-05-18 08:00:00,SIPC,1.07,1.07,0.92,0.92,23395.0
2022-05-19 08:00:00,SIPC,1.07,1.07,0.926,0.926,13050.0
2022-05-22 08:00:00,SIPC,1.07,1.07,0.94,0.998,113580.0
2022-05-23 08:00:00,SIPC,1.07,1.07,0.92,0.992,103020.0
2022-05-24 08:00:00,SIPC,1.07,1.07,0.976,0.976,150920.0
2022-05-25 08:00:00,SIPC,1.07,1.07,0.972,0.972,50000.0
2022-05-26 08:00:00,SIPC,1.07,1.07,0.964,0.964,156885.0
2022-05-29 08:00:00,SIPC,1.07,1.07,0.964,0.964,250.0
2022-05-30 08:00:00,SIPC,1.07,1.07,0.948,0.98,386805.0
2022-05-31 08:00:00,SIPC,0.978,0.978,0.938,0.954,55250.0
2022-06-01 08:00:00,SIPC,0.978,0.978,0.866,0.868,210130.0
2022-06-02 08:00:00,SIPC,0.978,0.978,0.86,0.86,56555.0
2022-06-05 08:00:00,SIPC,0.978,0.978,0.83,0.83,73950.0
2022-06-06 08:00:00,SIPC,0.978,0.978,0.852,0.852,76600.0
2022-06-07 08:00:00,SIPC,0.978,0.978,0.848,0.858,55000.0
2022-06-08 08:00:00,SIPC,0.978,0.978,0.848,0.862,59300.0
2022-06-09 08:00:00,SIPC,0.978,0.978,0.846,0.846,120250.0
2022-06-12 08:00:00,SIPC,0.978,0.978,0.852,0.868,59500.0
2022-06-13 08:00:00,SIPC,0.978,0.978,0.85,0.86,155750.0
2022-06-14 08:00:00,SIPC,0.978,0.978,0.824,0.86,13400.0
