date,symbol,open,high,low,close,volume
2022-04-11 08:00:00,KABO,0.55830964,0.57978309,0.53683619,0.55830964,426243.84805649
2022-04-12 08:00:00,KABO,0.55830964,0.55830964,0.53597726,0.54113088,1037615.16359198
2022-04-13 08:00:00,KABO,0.54027195,0.55830964,0.53769513,0.54113088,515753.2283096
2022-04-14 08:00:00,KABO,0.54027195,0.54113088,0.52395213,0.53168257,561852.02024673
2022-04-17 08:00:00,KABO,0.54027195,0.54027195,0.49818399,0.49818399,526007.75299346
2022-04-18 08:00:00,KABO,0.54027195,0.54027195,0.49818399,0.51536275,271091.77193029
2022-04-19 08:00:00,KABO,0.54027195,0.54027195,0.47327479,0.51622168,188642.27333964
2022-04-20 08:00:00,KABO,0.54027195,0.54027195,0.50677337,0.51536275,204671.37141496
2022-04-21 08:00:00,KABO,0.54027195,0.57119371,0.52309319,0.56689902,825612.64527258
2022-04-26 08:00:00,KABO,0.56346327,0.56346327,0.53511832,0.53683619,232950.48183401
2022-04-27 08:00:00,KABO,0.56346327,0.56346327,0.5325415,0.54198982,421576.45597457
2022-04-28 08:00:00,KABO,0.56346327,0.5823599,0.54972026,0.56689902,799504.82101785
2022-05-08 08:00:00,KABO,0.56689902,0.56689902,0.54972026,0.5505792,224223.42495047
2022-05-09 08:00:00,KABO,0.56689902,0.57119371,0.54972026,0.5505792,472771.07608395
2022-05-10 08:00:00,KABO,0.56689902,0.56689902,0.51708062,0.54198982,1199353.28037856
2022-05-11 08:00:00,KABO,0.54198982,0.55401495,0.53769513,0.54628451,817649.3222892
2022-05-12 08:00:00,KABO,0.54628451,0.58493672,0.51965744,0.55229708,5328431.71399898
2022-05-15 08:00:00,KABO,0.55229708,0.58407778,0.55229708,0.55916858,5348619.43629895
2022-05-16 08:00:00,KABO,0.55916858,0.57033477,0.53683619,0.54714345,2815075.42262281
2022-05-17 08:00:00,KABO,0.54714345,0.57978309,0.54714345,0.55487389,3375220.68387923
2022-05-18 08:00:00,KABO,0.55573283,0.57978309,0.55143814,0.56174539,2641107.0853771
2022-05-19 08:00:00,KABO,0.56174539,0.57205265,0.54800239,0.56604008,2802954.63964328
2022-05-22 08:00:00,KABO,0.56604008,0.60898698,0.56604008,0.60297441,10504783.75089999
2022-05-23 08:00:00,KABO,0.60297441,0.60984592,0.58837247,0.59180822,2429047.51986089
2022-05-24 08:00:00,KABO,0.59180822,0.59266716,0.57720628,0.58064203,1479332.77272626
2022-05-25 08:00:00,KABO,0.58064203,0.58064203,0.52395213,0.5325415,2526543.50766751
2022-05-26 08:00:00,KABO,0.5325415,0.54113088,0.50935018,0.52395213,1933123.43147132
2022-05-29 08:00:00,KABO,0.51793956,0.52395213,0.5076323,0.51106806,820094.20215252
2022-05-30 08:00:00,KABO,0.51106806,0.54284876,0.51106806,0.53425938,1304513.38444242
2022-05-31 08:00:00,KABO,0.53511832,0.54456663,0.52824681,0.52824681,498836.98811245
2022-06-01 08:00:00,KABO,0.53511832,0.54800239,0.51965744,0.52223425,723568.01669168
2022-06-02 08:00:00,KABO,0.52223425,0.5325415,0.51278593,0.52223425,254474.73845927
2022-06-05 08:00:00,KABO,0.52223425,0.53769513,0.51450381,0.51536275,515126.87337319
2022-06-06 08:00:00,KABO,0.52223425,0.54972026,0.51793956,0.53168257,847571.1591307
2022-06-07 08:00:00,KABO,0.53168257,0.56518114,0.53168257,0.54972026,3031596.31177532
2022-06-08 08:00:00,KABO,0.54456663,0.57377052,0.54456663,0.55830964,3259412.54589636
2022-06-09 08:00:00,KABO,0.55830964,0.56947583,0.54972026,0.55315601,2934290.09321524
2022-06-12 08:00:00,KABO,0.55315601,0.56604008,0.54027195,0.5505792,2069370.76511153
2022-06-13 08:00:00,KABO,0.5505792,0.55830964,0.54284876,0.54972026,1835233.93442956
2022-06-14 08:00:00,KABO,0.55143814,0.55315601,0.54542557,0.54800239,1074768.02368637
2022-06-15 08:00:00,KABO,0.54800239,0.56174539,0.54800239,0.55573283,1141649.45869021
2022-06-16 08:00:00,KABO,0.55573283,0.56689902,0.55573283,0.5574507,3194135.41777426
2022-06-19 08:00:00,KABO,0.55830964,0.56518114,0.54027195,0.54886132,1298084.5146304
2022-06-20 08:00:00,KABO,0.54886132,0.54886132,0.53340044,0.53425938,1334762.36949421
2022-06-21 08:00:00,KABO,0.53597726,0.54542557,0.53425938,0.53597726,457445.17202646
2022-06-22 08:00:00,KABO,0.53597726,0.53597726,0.51536275,0.52481106,1086774.71227228
2022-06-23 08:00:00,KABO,0.52481106,0.54027195,0.51536275,0.52223425,1703473.53745278
2022-06-26 08:00:00,KABO,0.52223425,0.53597726,0.50935018,0.52309319,617002.68882066
2022-06-27 08:00:00,KABO,0.51622168,0.51708062,0.49904293,0.50333762,636541.9358426
2022-06-28 08:00:00,KABO,0.50591443,0.50591443,0.48100523,0.48615886,836678.63722536
2022-06-29 08:00:00,KABO,0.48358204,0.50591443,0.48358204,0.50591443,244460.04484771
2022-07-03 08:00:00,KABO,0.48358204,0.49045355,0.42946896,0.47241585,611334.06022328
2022-07-04 08:00:00,KABO,0.48358204,0.48873567,0.44149409,0.45437815,1057727.21103904
2022-07-05 08:00:00,KABO,0.45437815,0.47671054,0.43977621,0.44664771,461737.68252935
2022-07-06 08:00:00,KABO,0.45437815,0.47069797,0.44664771,0.47069797,473610.48483702
2022-07-07 08:00:00,KABO,0.45437815,0.47499266,0.45437815,0.46726222,887224.78205671
2022-07-17 08:00:00,KABO,0.46812116,0.47241585,0.45609603,0.45695497,649965.49052073
2022-07-18 08:00:00,KABO,0.46812116,0.48100523,0.45953178,0.4689801,1265535.01405008
2022-07-19 08:00:00,KABO,0.4689801,0.48529992,0.4689801,0.47499266,3159185.27801387
2022-07-20 08:00:00,KABO,0.47499266,0.48959461,0.47499266,0.48100523,1591776.2903258
2022-07-21 08:00:00,KABO,0.48100523,0.52395213,0.48100523,0.51536275,4706223.75952646
2022-07-24 08:00:00,KABO,0.51536275,0.5325415,0.51020912,0.51536275,2579918.72776928
2022-07-25 08:00:00,KABO,0.51536275,0.51708062,0.50677337,0.51278593,878175.23387692
2022-07-26 08:00:00,KABO,0.51278593,0.55830964,0.51106806,0.52996469,3874127.52570206
2022-07-27 08:00:00,KABO,0.52996469,0.53941301,0.51278593,0.51536275,2698082.10002048
2022-07-28 08:00:00,KABO,0.51536275,0.52309319,0.51278593,0.51536275,583779.09993517
2022-07-31 08:00:00,KABO,0.51536275,0.52395213,0.51536275,0.52309319,955994.59569784
2022-08-01 08:00:00,KABO,0.52309319,0.53168257,0.50849124,0.51106806,1251871.62829965
2022-08-02 08:00:00,KABO,0.51106806,0.52309319,0.50247868,0.51536275,2460960.18744824
2022-08-03 08:00:00,KABO,0.51536275,0.5325415,0.51536275,0.52395213,1888149.28427132
